id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2018,minimum_nights,number_of_reviews
28005003,Financial District,37.79120843,-122.3927359,Entire home/apt,215,,30,0
28005089,Financial District,37.79057465,-122.3928949,Entire home/apt,215,,30,0
28007148,Outer Sunset,37.7501275,-122.4909342,Private room,75,,1,26
28008682,Financial District,37.79258696,-122.3927546,Entire home/apt,215,,30,0
28008937,South of Market,37.77583912,-122.4117934,Entire home/apt,174,,30,0
28009294,Western Addition,37.78716097,-122.4220481,Entire home/apt,207,,30,0
28009722,Western Addition,37.77476491,-122.4260849,Private room,135,,1,19
28016453,Noe Valley,37.74463241,-122.4327913,Entire home/apt,150,,30,1
28027982,Chinatown,37.79401873,-122.4076249,Private room,66,,30,0
28028464,Inner Sunset,37.76573866,-122.4570244,Entire home/apt,450,,2,16
28030809,Castro/Upper Market,37.76896834,-122.4378831,Entire home/apt,94,,60,0
28032283,Haight Ashbury,37.76914396,-122.4402853,Entire home/apt,1000,,2,1
28034435,Bernal Heights,37.74655117,-122.4069092,Private room,80,,30,0
28050674,Downtown/Civic Center,37.79009152,-122.4073041,Entire home/apt,95,,2,1
28053384,Parkside,37.74275167,-122.4872947,Private room,60,,1,21
28057844,South of Market,37.77263368,-122.4031807,Private room,100,,1,16
28073566,Financial District,37.79058999,-122.3924521,Entire home/apt,215,,30,0
28074056,Potrero Hill,37.76034913,-122.393482,Entire home/apt,250,,30,0
28074227,Visitacion Valley,37.71065722,-122.4202663,Private room,75,,2,9
28074409,Russian Hill,37.8009884,-122.4121087,Entire home/apt,450,,2,10
28079442,Mission,37.7569144,-122.4130241,Entire home/apt,420,,4,2
28079540,Downtown/Civic Center,37.78936716,-122.4136447,Entire home/apt,229,,3,3
28079865,Downtown/Civic Center,37.78936855,-122.4134904,Entire home/apt,229,,3,2
28080299,North Beach,37.80363713,-122.413884,Private room,70,,30,1
28081084,Mission,37.76203583,-122.4250617,Entire home/apt,190,,30,0
28085987,South of Market,37.77102447,-122.4226257,Entire home/apt,750,,2,5
28087828,Financial District,37.79038611,-122.4039078,Private room,420,,1,3
28103112,Mission,37.76292275,-122.4258195,Entire home/apt,185,,30,1
28107812,Inner Richmond,37.7746102,-122.4581139,Entire home/apt,189,,30,0
28108216,Western Addition,37.77781662,-122.4379439,Entire home/apt,230,,30,1
28114649,South of Market,37.78179525,-122.4046445,Entire home/apt,100,,30,0
28128935,Mission,37.76382614,-122.4235493,Entire home/apt,175,,2,5
28137005,Ocean View,37.72082431,-122.4634537,Private room,1500,,30,1
28139208,Mission,37.74974663,-122.4169261,Private room,280,,1,2
28141014,Outer Sunset,37.76214593,-122.4906301,Private room,75,,1,7
28164026,Mission,37.76016333,-122.4227659,Entire home/apt,175,,30,0
28164626,Mission,37.76229404,-122.4220306,Entire home/apt,1000,,3,1
28166487,Haight Ashbury,37.76907599,-122.4368752,Entire home/apt,800,,1,10
28178460,Marina,37.80740927,-122.4360029,Entire home/apt,1800,,3,7
28181442,Western Addition,37.78710388,-122.4305622,Private room,150,,3,8
28182735,Downtown/Civic Center,37.78789219,-122.4129958,Entire home/apt,229,,3,5
28182805,Downtown/Civic Center,37.78788826,-122.4139545,Entire home/apt,229,,3,5
28183336,Potrero Hill,37.76300632,-122.3888497,Entire home/apt,207,,30,0
28183364,Potrero Hill,37.76161363,-122.3894588,Entire home/apt,206,,30,0
28183375,Potrero Hill,37.76328899,-122.3886822,Entire home/apt,206,,30,0
28184435,Western Addition,37.78213123,-122.4427353,Entire home/apt,206,,30,0
28189029,Parkside,37.74033844,-122.4796681,Private room,98,,1,25
28200634,Outer Richmond,37.78447097,-122.4823693,Entire home/apt,375,,2,16
28201800,Haight Ashbury,37.77381182,-122.445041,Entire home/apt,350,,2,1
28202996,South of Market,37.77902969,-122.4051103,Private room,145,,2,10
28208579,Potrero Hill,37.76045546,-122.3956452,Private room,140,,3,0
28222183,Parkside,37.74318377,-122.4990807,Private room,72,,1,12
28222557,Parkside,37.74531933,-122.4995159,Private room,74,,1,18
28226145,Bernal Heights,37.73847774,-122.4172898,Entire home/apt,108,,1,19
28232197,Bayview,37.73270356,-122.3912155,Private room,150,,1,3
28251404,Haight Ashbury,37.76103884,-122.4464515,Entire home/apt,350,,31,0
28259229,Western Addition,37.77149446,-122.4287203,Private room,90,,1,25
28260953,Ocean View,37.72315386,-122.4563533,Private room,49,,1,2
28261064,Outer Mission,37.73286905,-122.4376983,Entire home/apt,85,,2,7
28262029,Nob Hill,37.79243974,-122.4194185,Entire home/apt,150,,30,0
28262555,Ocean View,37.72189063,-122.4564581,Private room,59,,1,5
28263206,Inner Richmond,37.77882483,-122.4606611,Private room,400,,3,0
28267650,South of Market,37.78146803,-122.3960333,Entire home/apt,152,,30,0
28276600,Mission,37.75186039,-122.4033026,Private room,131,,30,11
28279424,South of Market,37.77603647,-122.4081968,Entire home/apt,140,,30,0
28280458,Pacific Heights,37.79088111,-122.4227735,Entire home/apt,156,,1,6
28281476,South of Market,37.77633854,-122.4079752,Entire home/apt,145,,30,0
28284158,Potrero Hill,37.76104442,-122.4041308,Private room,350,,4,0
28284827,Outer Sunset,37.76033253,-122.5076221,Private room,115,,2,4
28286018,Outer Richmond,37.77587886,-122.4911006,Entire home/apt,300,,1,19
28306183,North Beach,37.79981062,-122.4062057,Entire home/apt,145,,30,0
28306502,Nob Hill,37.79532977,-122.4135102,Entire home/apt,550,,30,1
28310642,Downtown/Civic Center,37.79023017,-122.4079225,Entire home/apt,95,,2,3
28312747,Mission,37.75301668,-122.4047803,Private room,65,,30,0
28316938,Haight Ashbury,37.77209656,-122.4385626,Entire home/apt,300,,3,1
28338036,South of Market,37.77042331,-122.4176893,Entire home/apt,199,,30,0
28338407,Haight Ashbury,37.77605399,-122.4398004,Private room,145,,2,3
28339483,Mission,37.76879061,-122.4240249,Entire home/apt,163,,30,0
28342200,Noe Valley,37.74971518,-122.4328524,Entire home/apt,900,,1,4
28360154,Bernal Heights,37.74425156,-122.4120783,Entire home/apt,147,,2,5
28361732,Western Addition,37.78862536,-122.4290912,Entire home/apt,500,,3,0
28363410,Mission,37.75037961,-122.4140112,Private room,70,,1,30
